Uniq Id,Destination,Itinerary,Places Covered,Hotel_details,cost_per_person,Places_to_visit,weather
5e6c17b8465dc21907247c766563edb3,Udaipur|Jodhpur,2N Udaipur . 2N Jodhpur,Udaipur|Jodhpur,Hotel Yois Udaipur - MMT Holidays Special:|Zone By The Park Jodhpur - MMT Holiday Special:,14232.5, Lake Pichola | Saheliyon ki Bari | City Palace | Sajjangarh Palace | Mehrangarh Fort | Jaswant Thada | Umaid Bhawan Palace | Osian | Traditional Rajasthani Lunch by Talented Home Chef Raghvendra Rathore in Jodhpur - MMT ,hot
9ed6f9282142d9b671d899f775f71c5a,Gangtok|Darjeeling,2N Gangtok . 2N Darjeeling,Gangtok|Darjeeling,Lemon Tree Hotel  Gangtok:4.3|Ramada by Wyndham Darjeeling Gandhi Road:4.4,24148.5, Changu Lake - Excursion | Baba Mandir | Tashi View Point | Flower Exhibition | Do Drul | Namgayal Institute of Tibetology | Bhakthang Waterfall | Directorate of Handicrafts and Handloom | Tiger Hill | Ghoom Monastery | Batasia Loop | Himalayan Mountaineering Instituite | Himalayan Zoological park | Tibetan Refugee Centre | Tezing Rock | Gombu Rock | Happy valley Tea Estate | Japanese Temple | Peace Pagoda ,moderate
1ffa4d0279f0e5ec11b319d8c4bd1d20,Udaipur,2N Udaipur,Udaipur,Golden Tulip Hotel Udaipur:3.3,11382.5, Dinner at a Lake View Haveli (With Transfers) - MMT ,hot
6439b90201865da938ddef6938619155,Chandigarh|Manali,1N Chandigarh . 3N Manali,Chandigarh|Manali,Ramada Plaza Chandigarh:4|Solang Valley Resort:3.8,15100.5, Rock Garden | Sukhna Lake | Rose Garden | Pandoh Dam | Hadimba Temple | Tibetan Monastery | Vashishth Kund | Solang Valley ,cool
5bb80601f43886e122bff8e024318d0d,Shimla|Manali,4N Shimla . 3N Manali,Shimla|Manali,"Clarkes Hotel, A grand heritage hotel since 1898:4.5|Larisa Resort:4.5",24609.0, Kufri | Mall road | Shimla Church | Scandal point | Gaeity Theatre | Townhall ,cool
7e2cfce04177d8c6c534043e1e257e59,Agra|Lucknow|Varanasi,1N Agra . 1N Lucknow . 2N Varanasi,Agra|Lucknow|Varanasi,The Taj Vilas:4.1|Hotel Lineage:4.2|Amritara Suryauday Haveli:4.5,17650.5, Taj Mahal | Agra fort | Chota Imambara | Clock Tower | Rumi Darwaza | Bara Imambara | Ghats | Kashi Vishwanath Temple | Sarnath | Ashoka Pillar | Kashi Vishwanath Temple | Tulsi Manas Temple | Bharat Mata Temple | Bharat Kala Bhavan | Benares Hindu University ,hot
82aa1232cf1dcdb28e5964318dcbfad3,Goa,3N Goa,Goa,W Goa:4.5,20360.5, Romantic Experiences for Couples from South Goa Hotels (With Transfers) ,hot
99902434133b02500cc7b303bf3e82ba,Goa,3N Goa,Goa,Novotel Goa Resort & Spa:4.1,8416.0, Mumbai to Goa Bus Ticket with Private Transfer to South Goa Hotels - MMT | South Goa Hop-On Hop-Off (HOHO) Tour (1 Day Pass without transfers) - MMT | Goa to Mumbai Bus Ticket with Private Transfer from South Goa Hotels - MMT ,hot
235e39d6e69744630a204ce29f56d5b5,Manali|Chandigarh,3N Manali . 1N Chandigarh,Manali|Chandigarh,Larisa Resort:4.5|Ramada Plaza Chandigarh:4,14683.5, Pandoh Dam | Hadimba Temple | Tibetan Monastery | Vashishth Kund | Solang Valley | Rock Garden | Rose Garden ,cool
eeff6b689f5ffb577f6e2b2393a3b073,Shillong|Guwahati,3N Shillong . 2N Guwahati,Shillong|Guwahati,Hotel Pegasus Crown:2.9|Hotel Atithi:4.2,24931.0," Umiam Lake | Laitlum Canyon Visit (With Transfers) | Seven Sister Falls | Ka Khoh Ramhah | Eco Park | Nohkalikai Waterfalls, Cherrapunji | Mawsmai Cave, Cherrapunji ",moderate
7ab6edf854efd8b6509fd07673de8cb9,Goa,3N Goa,Goa,Windsor Bay:4,5917.5, Mumbai to Goa by Bus (Departure between 5 pm - 10 pm) | Goa Nightlife Tour (With Transfers) - MMT | Goa to Mumbai by Bus (Departure between 5 pm - 9 pm) ,hot
f6c1e6ad245e7548993b6bd580f8c431,Guwahati|Shillong,1N Guwahati . 2N Shillong,Guwahati|Shillong,Hotel Rains Inn:3.9|HOTEL GATEWAY SHILLONG:3.5,14903.5," Shrimanta Shankardeva Kalakshetra | Umiam Lake | Seven Sister Falls | Shillong Peak | Elephant Falls | Ka Khoh Ramhah | Eco Park | Mawsmai Cave, Cherrapunji | Nohkalikai Waterfalls, Cherrapunji ",moderate
7a327404a5f45cff45dfb4d2cfc8b596,Jaipur,3N Jaipur,Jaipur,Park Regis Jaipur - MMT Holidays Special:,10890.0, Hawa Mahal | City Palace | Jantar Mantar | Amer Fort | Home Chef - Enjoy a traditional Rajasthani meal with a Royal Family - MMT ,hot
03ff6824f71be8fd6dced27ae51a1dbb,Shimla|Manali|Chandigarh,2N Shimla . 4N Manali . 1N Chandigarh,Shimla|Manali|Chandigarh,Hotel Baljees Regency:4.2|Hotel Vintage:4|Red Fox Hotel Chandigarh:4,11703.5, Kufri | Himalayan Zoo | Naldhera | Viceregal Lodge | Shimla Church | Scandal point | Gaeity Theatre | Townhall | Mall road | Pandoh Dam | Solang Valley | Manikaran ,cool
1e81eee485a3fb48600808b299b347d9,Srinagar,3N Srinagar,Srinagar,The Orchard Retreat & Spa:4.6,16926.0, Dal Lake | Mughal Gardens | Cheshma Shahi | Nishat Bagh | Shalimar Garden | Shankaracharya Temple | Dal Lake | Gondola Point ,moderate
fbeccfb1d4a493e21749cc9c85b0f00b,Darjeeling|Gangtok,2N Darjeeling . 2N Gangtok,Darjeeling|Gangtok,The Elgin:4|Mayfair Spa Resort & Casino:4.5,34166.5, North East - Experience Value Pack -Mini Car | Tiger Hill | Himalayan Mountaineering Instituite | Himalayan Zoological park | Tibetan Refugee Centre | Tezing Rock | Gombu Rock | Japanese Temple | Peace Pagoda | Directorate of Handicrafts and Handloom | Do Drul | Namgayal Institute of Tibetology | Flower Exhibition | Directorate of Handicrafts and Handloom | Personal Photoshoot in Gangtok | Changu Lake - Excursion | Baba Mandir ,moderate
783ebbb850a038886f5a407f74d566be,Jaipur,2N Jaipur,Jaipur,Leisure Inn Grand Chanakya:4,7553.5, Hawa Mahal | City Palace | Jantar Mantar | Amer Fort ,hot
5f1743fd3d14e08947416cf404e383c5,Jaipur,2N Jaipur,Jaipur,RAMADA JAIPUR:4.1,5441.0, Walking and Food Tasting Tour - MMT ,hot
c3eb8becc78da3db47127050beba9464,Dharamshala,3N Dharamshala,Dharamshala,Hotel The Vaikunth:3.9,11255.0, Dalai Lama temple | Bhagsu falls | Church of St. John | War Memorial | Kangra Art Museum | Norbulingka Institute ,cool
462ba63adffd60637eb7f7b0ce5fb31e,Shimla|Manali|Dharamshala|Chandigarh,2N Shimla . 3N Manali . 2N Dharamshala . 1N Chandigarh,Shimla|Manali|Dharamshala|Chandigarh,"Wildflower Hall, An Oberoi Resort, Shimla:4.7|Larisa Resort:4.6|Little Mastiff Dharamshala - Unit Of Pong View Hotel:3.9|Ramada Plaza Chandigarh:4",35188.0, Kufri | Viceregal Lodge | Mall road | Pandoh Dam | Vashishth Kund | Hadimba Temple | Tibetan Monastery ,cool
4f3e03e39e24e8693474b795ca77a8b0,Udaipur,4N Udaipur,Udaipur,Taj Lake Palace:4.8,64029.0, Kumbhalgarh | Haldighati | Saheliyon ki Bari | City Palace | Sajjangarh Palace ,hot
fcf5b9c2e14e116b26ac2f4cddd4c261,Shimla|Manali,2N Shimla . 3N Manali,Shimla|Manali,The Oberoi Cecil:4.7|Solang Valley Resort:3.8,29959.0, Kufri | Himalayan Zoo | Indira Bunglow | Shimla Church | Scandal point | Gaeity Theatre | Townhall | Shimla Church | Mall road | Solang Valley | Himachal - Convenience Value Pack - Sedan - MMT ,cool
9aa67f9c9bc834d76d413a75b4d2c113,Goa,2N Goa,Goa,Novotel Goa Resort & Spa:4.1,4854.0, North Goa Sightseeing by an MUV - For North Goa Hotels - MMT ,hot
9b3ac9ed84aed1f8d06c2b6c69e790a9,Shimla|Manali|Dharamshala,2N Shimla . 3N Manali . 2N Dharamshala,Shimla|Manali|Dharamshala,"Clarkes Hotel, A grand heritage hotel since 1898:4.8|Larisa Resort:4.5|Little Mastiff Dharamshala - Unit Of Pong View Hotel:3.9",24948.0, Mall road | Pinjore Gardens | Kufri | Indira Bunglow | Himalayan Zoo | Mall road | Shimla Church | Scandal point | Gaeity Theatre | Townhall | Pandoh Dam | Solang Valley | Hadimba Temple | Tibetan Monastery | Vashishth Kund ,cool
269e22988aa4a7a6d3e31d660f507713,Goa,4N Goa,Goa,Novotel Goa Resort & Spa:4.1,19659.0, Goa - Convenience Value Pack - MMT | Romantic Experiences for Couples from South Goa Hotels (With Transfers) | MMT - Candid Photographer in Goa ,hot
8e7f801007ed7c817c33ea6d44c03b5f,Chennai,3N Chennai,Chennai,Hotel Savera:4.2,10169.5, Marina Beach | Fort St. George | Kapaleeshwar Temple ,moderate
d2a9d167ab8e73481e8534d5066f0b53,Gangtok|Darjeeling,3N Gangtok . 2N Darjeeling,Gangtok|Darjeeling,"Summit Namnang Courtyard & Spa, Gangtok-MMT Holidays Special:4.1|Summit Swiss Heritage Hotel & Spa:",21691.5, Changu Lake - Excursion | Baba Mandir | Rumtek Monastery | Do Drul | Namgayal Institute of Tibetology | Flower Exhibition | Directorate of Handicrafts and Handloom ,moderate
441e4917c80f23042e9af0d8c54b80ba,Darjeeling,3N Darjeeling,Darjeeling,Ramada by Wyndham Darjeeling Gandhi Road:4.4,16909.0, Tiger Hill | Himalayan Mountaineering Instituite | Himalayan Zoological park | Peace Pagoda | Japanese Temple | Tibetan Refugee Centre | Tezing Rock | Gombu Rock | Happy valley Tea Estate | Mirik ,moderate
63521ea0d330b34e2935d4519d3e9c31,Shimla|Manali|Dharamshala,2N Shimla . 3N Manali . 2N Dharamshala,Shimla|Manali|Dharamshala,"Clarkes Hotel, A grand heritage hotel since 1898:4.8|Larisa Resort:4.5|Little Mastiff Dharamshala - Unit Of Pong View Hotel:3.9",21158.5, Mall road | Pinjore Gardens | Kufri | Indira Bunglow | Himalayan Zoo | Mall road | Shimla Church | Scandal point | Gaeity Theatre | Townhall | Pandoh Dam | Solang Valley | Hadimba Temple | Tibetan Monastery | Vashishth Kund ,cool
a0324f8d9dd82b161ea8447294c3536c,Srinagar,4N Srinagar,Srinagar,California Group of Houseboats:3.6,12079.5, Dal Lake | Mughal Gardens | Cheshma Shahi | Nishat Bagh | Shalimar Garden | Shankaracharya Temple | Dal Lake | Gondola Point | Avantipur Ruins | Full day excursion from Srinagar to Doodhpatri - MMT ,moderate
fe1a7921cbeb55f9fbee0d46bcbeb190,Udaipur,2N Udaipur,Udaipur,Swaroop Vilas:3.8,10543.0, Lake Pichola | Jag Mandir Palace | Private Sunset Boat Ride at Lake Pichola - MMT | Sajjangarh Palace ,hot
40582f1f75c02e34d3de883e03ad3633,Manali|Shimla,3N Manali . 2N Shimla,Manali|Shimla,Larisa Resort:4.5|The Oberoi Cecil:5.0,25669.0, Mall road | Pandoh Dam | Himachal - Convenience Value Pack - SUV - MMT | Hadimba Temple | Tibetan Monastery | Vashishth Kund | Personal Photoshoot in Manali | Solang Valley | Pandoh Dam ,cool
0cebbd022e7f5a253997c33c5fddcae0,Guwahati|Shillong,1N Guwahati . 3N Shillong,Guwahati|Shillong,Hotel Rains Inn:3.9|Hotel Heiga:4.1,19355.5, Umiam Lake ,moderate
d9ef9a702a7bb6cd4186cb389c67bdb5,Chandigarh|Shimla|Manali|Chandigarh,1N Chandigarh . 2N Shimla . 3N Manali . 1N Chandigarh,Chandigarh|Shimla|Manali|Chandigarh,Red Fox Hotel Chandigarh:4|Hotel Baljees Regency:4.2|Hotel Vintage:4|Red Fox Hotel Chandigarh:4,17038.5, Pinjore Gardens | Shimla Church | Scandal point | Gaiety Theatre | Kufri | Solang Valley ,cool
a1b5c4a91a6b98546da93198bc1efc70,Shillong|Guwahati,3N Shillong . 1N Guwahati,Shillong|Guwahati,HOTEL GATEWAY SHILLONG:3.5|Hotel Rains Inn:3.9,15159.5, WardÛªs Lake | Botanical Garden | Lady Hydari Park | Assam State Zoo | Assam State Museum | Shillong Peak | Golf Course | Elephant Falls | Sri Bhimeswar Panchadhara Shiva Dham | Dwadas Jyotirlinga ,moderate
23e39fcbefe0aacb3776068d4c179802,Jaipur,2N Jaipur,Jaipur,Park Regis Jaipur - MMT Holidays Special:,5473.0, Return Volvo Tickets ex Delhi | Hawa Mahal | City Palace | Jantar Mantar | Amer Fort ,hot
be20ab3fe073574cb6d0f3057fa2cd13,Shillong,2N Shillong,Shillong,HOTEL GATEWAY SHILLONG:3.5,12519.5, Umiam Lake ,moderate
efd2699abd85972586022162cb10a67e,Goa,3N Goa,Goa,The Grand Leoney Resort:4.2,7906.5, Bondla Sanctuary - For North Goa Hotels - WagonR/Similar ,hot
42e1790fcfb804066985f92a75a22a4b,Manali|Chandigarh,3N Manali . 1N Chandigarh,Manali|Chandigarh,Hotel Vintage:4|Red Fox Hotel Chandigarh:4,12180.0, Pandoh Dam | Hadimba Temple | Tibetan Monastery | Vashishth Kund | Solang Valley | Rock Garden | Rose Garden ,cool
3925ef41a505a81877594eff276c0be1,Shimla|Manali|Amritsar,2N Shimla . 3N Manali . 1N Amritsar,Shimla|Manali|Amritsar,Hotel Baljees Regency:4.2|Hotel Vintage:4|Hotel Sapphire:3.6,12676.0, Mall road | Kufri | Indira Bunglow | Himalayan Zoo | Mall road | Shimla Church | Scandal point | Gaeity Theatre | Townhall | Solang Valley | Hadimba Temple | Jagatsukh | Vashishth Kund | Tibetan Monastery ,cool
09ae53999658b92f1f140ad48c8bb4e0,Dharamshala,3N Dharamshala,Dharamshala,Hotel The Vaikunth:3.9,9518.5, Dalai Lama temple | Bhagsu falls | Church of St. John | War Memorial | Kangra Art Museum | Norbulingka Institute ,cool
a347a066a16be365c38e1aeefd310b91,Srinagar,3N Srinagar,Srinagar,The Pride Inn:4.2,6013.5, Dal Lake | Mughal Gardens | Cheshma Shahi | Nishat Bagh | Shalimar Garden | Shankaracharya Temple | Dal Lake | Gondola Point ,moderate
b535c14fda4f6012497191b8c45482c0,Jaipur,3N Jaipur,Jaipur,RAMADA JAIPUR:4.1,19522.5, Candlelight Dinner in Jaipur | Hawa Mahal | City Palace | Jantar Mantar | Amer Fort | Traditional Dinner at Chokhi Dhani (With Transfers) - MMT | Half Day Trip to Bisalpur Dam - MMT | Elephant Safari & Interaction with Elephants at Dera Amer - MMT | Morning Cycling Tour of Jaipur - MMT ,hot
8694cee5fa815c6a5b23acf8cab75a14,Goa,4N Goa,Goa,La Vie Woods (No Stags Allowed):4,14650.0, Goa - Convenience Value Pack - MMT | Romantic Experiences for Couples from North Goa Hotels (With Transfers) | MMT - Candid Photographer in Goa ,hot
019d4849f15c44294a6b436f1d0eb519,Goa,4N Goa,Goa,Novotel Goa Resort & Spa:4.1,17069.5, North Goa Sightseeing by an MUV - For North Goa Hotels - MMT | South Goa Sightseeing by an MUV - For North Goa Hotels - MMT ,hot
7357167f51723cd81461a5a8a3a04d3b,Udaipur,3N Udaipur,Udaipur,Hotel Horizon:3.7,11517.0, Lake Pichola | Jag Mandir Palace | Saheliyon ki Bari | City Palace ,hot
c813808ed1ab43afc4cf19f3fb1ba07e,Udaipur,2N Udaipur,Udaipur,Swaroop Vilas:3.8,12455.0, Cable Car Ride & Fort Tour Near Lake Pichola (With Lunch & Transfers) - MMT ,hot
a0035cb0ed104a3ac38329a13ae7acf5,Darjeeling,5N Darjeeling,Darjeeling,Sumi Yashshree Suites & Spa:4.4,18387.5, Tiger Hill | Ghoom Monastery | Himalayan Mountaineering Institute | Himalayan Zoological park | Tibetan Refugee Centre | Tezing Rock | Gombu Rock | Mirik | Pashupati Market | Zong Dog Palri Fo Brang Gompa | Mangal Dham ,moderate
1f23c85f78ba519ac94b2f62cf8a1337,Nainital,2N Nainital,Nainital,Vikram Vintage Inn:4.1,17582.0, Naina devi Temple | Mall road | Naini Lake | Nainital Zoo | Eco Cave Garden ,cool
a23bf5e16a10c340bf8e03b22d631a48,Goa,4N Goa,Goa,Novotel Goa Resort & Spa:4.2,14861.5, North & South Goa Hop-On Hop-Off (HOHO) Tour (2 Day Pass without transfers) - MMT ,hot
73685b185699527f1a09cf366f316904,Shimla|Manali|Chandigarh,3N Shimla . 3N Manali . 1N Chandigarh,Shimla|Manali|Chandigarh,Kyriad Hotel Shimla (A unit of Hotel C K Int.):3.5|Snow Valley Resorts:4.4|Hotel 6 Chandigarh Zirakpur(Medallion):4,17824.5, Kufri | Mall road | Shimla Church | Scandal point | Gaeity Theatre | Townhall | Solang Valley ,cool
0b7362ec2f9a8987900665b8ed34dd0c,Amritsar|Shimla|Manali,1N Amritsar . 2N Shimla . 2N Manali,Amritsar|Shimla|Manali,Hotel Sapphire:3.6|Hotel Baljees Regency:4.2|Hotel Vintage:4,14142.0, Golden Temple | Jalianwalla bagh | Mall road | Kufri | Mall road | Shimla Church | Scandal point | Gaeity Theatre | Townhall ,cool
54b880993fb75d8690923bbdc60e4326,Shimla|Manali|Dharamshala|Chandigarh,2N Shimla . 3N Manali . 2N Dharamshala . 1N Chandigarh,Shimla|Manali|Dharamshala|Chandigarh,Hotel Baljees Regency:4.2|Hotel Vintage:4|Hotel The Vaikunth:3.9|Red Fox Hotel Chandigarh:4,18827.5, Mall road | Pinjore Gardens | Kufri | Indira Bunglow | Himalayan Zoo | Mall road | Shimla Church | Scandal point | Gaeity Theatre | Townhall | Pandoh Dam | Jakhoo Temple | Mall road | Vashishth Kund | Hadimba Temple | Solang Valley ,cool
73da709b15d87f3ab3864dbd397b7609,Chandigarh|Shimla|Manali|Chandigarh,1N Chandigarh . 2N Shimla . 3N Manali . 1N Chandigarh,Chandigarh|Shimla|Manali|Chandigarh,Red Fox Hotel Chandigarh:4|Hotel Baljees Regency:4.2|Hotel Vintage:4|Red Fox Hotel Chandigarh:4,19713.0, Pinjore Gardens | Shimla Church | Scandal point | Gaiety Theatre | Kufri | Solang Valley ,cool
938bfadb85572dc7566af8edd9e425dd,Jaipur,3N Jaipur,Jaipur,Golden Tulip Jaipur:4.1,8552.5, Dinner at Padao in Nahargarh Fort (With Transfers) - MMT | City Palace | Jantar Mantar | Hawa Mahal | Half Day Trip to Bisalpur Dam - MMT | Amer Fort | Ticket to Light and Sound Show at Amer Fort - MMT ,hot
50d0126c078da6cfccadf5b87ec2f439,Nainital,3N Nainital,Nainital,The Manu Maharani:4.3,9498.5, Naina devi Temple | Mall road | Naini Lake | Nainital Zoo | Eco Cave Garden | Sattal | Bhimtal | Naukuchiatal ,cool
c661c00ff0a0483808b5cf3f19ed8cb4,Srinagar,3N Srinagar,Srinagar,Radisson Srinagar:3.9,16886.0, Dal Lake | Mughal Gardens | Cheshma Shahi | Nishat Bagh | Shalimar Garden | Shankaracharya Temple | Dal Lake | Gondola Point ,moderate
b6f16ca53cfb3b70a1d6183a342229b0,Jaipur|Udaipur,3N Jaipur . 2N Udaipur,Jaipur|Udaipur,"Regenta Central Jalmahal, Jaipur:4|Hotel Lakend:4.4",25806.5, City Palace | Hawa Mahal | Jantar Mantar | Rajasthan - Convenience Value Pack - SUV - MMT | Amer Fort | Albert Hall Museum | Bhangarh Fort ,hot
4e0b8a58785adfdd6c649ce300551f16,Goa,4N Goa,Goa,The Ocean Park Resort:3.7,19736.0, Goa - Convenience Value Pack - MMT | Romantic Experiences for Couples from South Goa Hotels (With Transfers) | MMT - Candid Photographer in Goa ,hot
5ac019e4ad642de8d41bc92d46fe613c,Shimla|Manali|Amritsar,3N Shimla . 3N Manali . 2N Amritsar,Shimla|Manali|Amritsar,"Clarkes Hotel, A grand heritage hotel since 1898:4.8|Larisa Resort:4.6|Hyatt Regency Amritsar:4.1",28578.0, Mall road | Pinjore Gardens | Kufri | Indira Bunglow | Himalayan Zoo | Mall road | Shimla Church | Gaeity Theatre | Townhall | Pandoh Dam | Solang Valley ,cool
607db584083dc48b4b69845054174526,Goa,2N Goa,Goa,Novotel Goa Resort & Spa:4.1,6378.0, North Goa Sightseeing by an MUV - For North Goa Hotels - MMT ,hot
a45d8f56c4085fde7e772d340225e2f4,Mysore|Bangalore,2N Mysore . 2N Bangalore,Mysore|Bangalore,"Country Inn And Suites By Radisson, Mysore:4.2|The Chancery Pavilion:3.8",12097.5, Chamundi Hills | Mysore Zoo | St. Philomena Church | Mysore Palace | Brindavan Gardens | Lal Bagh Botanical Garden | Cubbon Park | Vidhana Soudha | Ulsoor Lake ,moderate
cf2df87db193cba227cef242cff053f2,Srinagar,2N Srinagar,Srinagar,Vivanta Dal View:4.7,18012.5, Dal Lake | Sonmarg | Thajiwas Glacier ,moderate
afad3b04080bbb032d614c3b18d4a25d,Manali,3N Manali,Manali,Hotel Vintage:4,12517.5, Vashishth Kund | Hadimba Temple | Tibetan Monastery | Personal Photoshoot in Manali | Solang Valley ,cool
bd4f42a6d3db53cf2276844858085a19,Amritsar|Shimla,2N Amritsar . 3N Shimla,Amritsar|Shimla,"Hyatt Regency Amritsar:4.1|Clarkes Hotel, A grand heritage hotel since 1898:4.8",21241.5, Gobindgarh fort | Golden Temple | Jalianwalla bagh | Wagah Border | Mall road | Kufri | Indira Bunglow | Himalayan Zoo | Mall road | Shimla Church | Scandal point | Gaeity Theatre | Townhall ,cool
1fbdbdd3e744a85bbc7fd968f5764b7b,Shimla|Manali|Dharamshala|Amritsar,2N Shimla . 3N Manali . 2N Dharamshala . 1N Amritsar,Shimla|Manali|Dharamshala|Amritsar,Hotel Baljees Regency:4.2|Hotel Vintage:4|Hotel BobsnBarley:3.6|Hotel Sapphire:3.6,15665.5, Kufri | Viceregal Lodge | Mall road | Pandoh Dam | Vashishth Kund | Hadimba Temple | Tibetan Monastery ,cool
a9516f92eb894ae9cdf780520c28b7d8,Jaipur|Jodhpur|Udaipur,2N Jaipur . 1N Jodhpur . 2N Udaipur,Jaipur|Jodhpur|Udaipur,RAMADA JAIPUR:4.1|Indana Palace Jodhpur:4.3|The Ananta:4.4,14202.5, City Palace | Hawa Mahal | Jantar Mantar | Amer Fort | Mehrangarh Fort | Jaswant Thada | Ranakpur Jain Temples ,hot
fb547d51502515eba5d6c6af38610447,Dharamshala,3N Dharamshala,Dharamshala,Little Mastiff Dharamshala - Unit Of Pong View Hotel:3.9,12946.0, Dalai Lama temple | Bhagsu falls | Church of St. John | War Memorial | Kangra Art Museum | Norbulingka Institute ,cool
1c26264530cba96ef12f6374648b0d8c,Manali|Shimla,3N Manali . 2N Shimla,Manali|Shimla,"Larisa Resort:4.6|Clarkes Hotel, A grand heritage hotel since 1898:4.8",20024.0, Mall road | Pandoh Dam | Hadimba Temple | Tibetan Monastery | Vashishth Kund | Solang Valley | Pandoh Dam ,cool
8f87901acbe341464208d35fda9b583e,Shillong|Guwahati,2N Shillong . 2N Guwahati,Shillong|Guwahati,M Crown Hotel Shillong:3.8|Hotel Dynasty:3.7,21594.0, Umiam Lake ,moderate
d8b30b7a4a2989c9054b2a04ba6c10ee,Jaipur,3N Jaipur,Jaipur,RAMADA JAIPUR:4.1,7756.0, Self Drive SUV for 4 days from Delhi ,hot
e504c9577beef9dd7aa835358aff3199,Shimla|Manali|Chandigarh,2N Shimla . 4N Manali . 1N Chandigarh,Shimla|Manali|Chandigarh,Kyriad Hotel Shimla (A unit of Hotel C K Int.):4.0|Snow Valley Resorts:4.0|Hotel 6 Chandigarh Zirakpur(Medallion):,18103.0, Kufri | Himalayan Zoo | Naldhera | Viceregal Lodge | Shimla Church | Scandal point | Gaeity Theatre | Townhall | Mall road | Pandoh Dam | Solang Valley | Manikaran ,cool
fcdfcee60484effb57b755a9621fe88c,Srinagar,3N Srinagar,Srinagar,The Pride Inn:4.2,11219.5, Dal Lake | Mughal Gardens | Cheshma Shahi | Nishat Bagh | Shalimar Garden | Shankaracharya Temple | Dal Lake | Gondola Point ,moderate
176bc924bf48f35a436727e22c3bff76,Shimla,3N Shimla,Shimla,Kyriad Hotel Shimla (A unit of Hotel C K Int.):3.5,10005.5, Kufri | Viceregal Lodge | Mall road | Personal Photoshoot in Shimla ,cool
